ChangeID,UserID,Change_Timestamp,Old_Status,New_Status,Change_Reason,Audit_User
CHID_000001,UID_09427,2025-06-24 16:38:08,LOCKED,SUSPENDED,FRAUD_BLOCK,System
CHID_000002,UID_12043,2025-05-15 15:39:06,ACTIVE,LOCKED,FRAUD_BLOCK,Fraud_Analyst
CHID_000003,UID_07200,2025-01-11 11:10:34,CLOSED,ACTIVE,INACTIVITY,Customer_Service
CHID_000004,UID_10409,2025-06-21 20:44:48,SUSPENDED,ACTIVE,INACTIVITY,Customer_Service
CHID_000005,UID_04620,2025-07-25 18:38:29,CLOSED,SUSPENDED,FRAUD_BLOCK,Fraud_Analyst
CHID_000006,UID_03922,2025-03-22 10:27:27,CLOSED,SUSPENDED,FRAUD_BLOCK,Fraud_Analyst
CHID_000007,UID_13815,2024-12-08 03:31:10,ACTIVE,CLOSED,USER_REQUEST,Customer_Service
CHID_000008,UID_10919,2025-07-20 22:54:46,PWD_RESET,ACTIVE,SYSTEM_UPDATE,Customer_Service
CHID_000009,UID_13139,2025-02-11 03:40:39,PWD_RESET,CLOSED,USER_REQUEST,Customer_Service
CHID_000010,UID_05211,2025-05-09 02:47:20,SUSPENDED,PWD_RESET,SYSTEM_UPDATE,System
CHID_000011,UID_00268,2025-08-21 17:22:54,LOCKED,PWD_RESET,INACTIVITY,Fraud_Analyst
CHID_000012,UID_10702,2025-01-30 13:29:48,ACTIVE,PWD_RESET,FRAUD_BLOCK,System
CHID_000013,UID_01666,2025-03-29 19:18:14,PWD_RESET,CLOSED,COMPLIANCE_REVIEW,Customer_Service
CHID_000014,UID_02067,2025-09-28 21:26:33,SUSPENDED,ACTIVE,USER_REQUEST,Customer_Service
CHID_000015,UID_10776,2025-09-01 08:41:01,PWD_RESET,LOCKED,COMPLIANCE_REVIEW,Fraud_Analyst
CHID_000016,UID_02803,2025-06-30 17:50:52,SUSPENDED,LOCKED,FRAUD_BLOCK,System
CHID_000017,UID_03214,2025-02-21 16:26:34,ACTIVE,CLOSED,INACTIVITY,Customer_Service
CHID_000018,UID_12596,2025-02-26 19:45:35,PWD_RESET,ACTIVE,SYSTEM_UPDATE,System
CHID_000019,UID_14086,2025-09-01 23:32:27,SUSPENDED,PWD_RESET,USER_REQUEST,Customer_Service
CHID_000020,UID_01171,2025-05-31 01:17:38,ACTIVE,SUSPENDED,FRAUD_BLOCK,System
CHID_000021,UID_04076,2025-01-19 22:30:21,SUSPENDED,LOCKED,FRAUD_BLOCK,System
CHID_000022,UID_01327,2024-12-25 20:31:25,CLOSED,PWD_RESET,FRAUD_BLOCK,Fraud_Analyst
CHID_000023,UID_11450,2025-02-24 05:37:33,CLOSED,PWD_RESET,SYSTEM_UPDATE,System
CHID_000024,UID_10798,2025-03-11 22:49:36,LOCKED,SUSPENDED,COMPLIANCE_REVIEW,Customer_Service
CHID_000025,UID_08165,2025-08-02 19:36:23,LOCKED,CLOSED,INACTIVITY,System
CHID_000026,UID_07699,2025-05-31 17:37:55,SUSPENDED,CLOSED,FRAUD_BLOCK,Fraud_Analyst
CHID_000027,UID_11295,2025-06-17 19:06:20,CLOSED,LOCKED,COMPLIANCE_REVIEW,System
CHID_000028,UID_03324,2024-12-17 00:14:36,CLOSED,LOCKED,COMPLIANCE_REVIEW,System
CHID_000029,UID_11202,2025-07-03 08:43:01,ACTIVE,SUSPENDED,FRAUD_BLOCK,Fraud_Analyst
CHID_000030,UID_07646,2025-01-14 13:48:54,PWD_RESET,CLOSED,USER_REQUEST,Customer_Service
CHID_000031,UID_13882,2025-04-28 00:33:00,PWD_RESET,CLOSED,COMPLIANCE_REVIEW,Fraud_Analyst
CHID_000032,UID_09388,2025-08-16 15:37:30,LOCKED,ACTIVE,FRAUD_BLOCK,System
CHID_000033,UID_10376,2024-10-29 05:22:34,ACTIVE,SUSPENDED,COMPLIANCE_REVIEW,System
CHID_000034,UID_11688,2025-09-14 14:33:52,ACTIVE,PWD_RESET,FRAUD_BLOCK,Fraud_Analyst
CHID_000035,UID_01669,2025-07-23 10:14:38,LOCKED,SUSPENDED,FRAUD_BLOCK,Fraud_Analyst
CHID_000036,UID_09528,2025-05-28 10:07:07,CLOSED,LOCKED,FRAUD_BLOCK,System
CHID_000037,UID_13860,2025-09-04 19:32:27,SUSPENDED,CLOSED,FRAUD_BLOCK,Fraud_Analyst
CHID_000038,UID_05454,2025-03-28 23:03:12,CLOSED,LOCKED,COMPLIANCE_REVIEW,Fraud_Analyst
CHID_000039,UID_02162,2025-06-28 08:14:29,PWD_RESET,LOCKED,FRAUD_BLOCK,System
CHID_000040,UID_08707,2024-12-19 00:31:24,LOCKED,CLOSED,INACTIVITY,Fraud_Analyst
CHID_000041,UID_05931,2024-11-18 18:42:36,ACTIVE,LOCKED,COMPLIANCE_REVIEW,Customer_Service
CHID_000042,UID_04529,2025-06-04 01:57:23,CLOSED,PWD_RESET,INACTIVITY,Customer_Service
CHID_000043,UID_07255,2025-08-01 13:52:25,LOCKED,SUSPENDED,FRAUD_BLOCK,System
CHID_000044,UID_01906,2025-07-06 05:41:39,LOCKED,SUSPENDED,FRAUD_BLOCK,System
CHID_000045,UID_05614,2025-06-29 12:07:58,CLOSED,LOCKED,FRAUD_BLOCK,System
CHID_000046,UID_06897,2025-04-12 19:50:54,PWD_RESET,ACTIVE,SYSTEM_UPDATE,Fraud_Analyst
