Date_Hour,Metric,Transaction_Volume,Total_Amount,Fraud_Count
2025-07-26 16:00:00,CREDIT,154,74766.0,1
2025-07-26 16:00:00,DEBIT,312,162946.25,1
2025-07-26 16:00:00,P2P_TRANSFER,343,265803.53,1
2025-07-26 17:00:00,CREDIT,289,118640.74,0
2025-07-26 17:00:00,DEBIT,239,153461.57,0
2025-07-26 17:00:00,P2P_TRANSFER,519,377958.6,1
2025-07-26 18:00:00,CREDIT,305,282321.76,2
2025-07-26 18:00:00,DEBIT,411,302361.05,2
2025-07-26 18:00:00,P2P_TRANSFER,281,199024.52,1
2025-07-26 19:00:00,CREDIT,374,243022.38,0
2025-07-26 19:00:00,DEBIT,251,98999.02,0
2025-07-26 19:00:00,P2P_TRANSFER,218,96970.57,0
2025-07-26 20:00:00,CREDIT,404,277070.59,2
2025-07-26 20:00:00,DEBIT,214,87322.99,1
2025-07-26 20:00:00,P2P_TRANSFER,280,158349.18,1
2025-07-26 21:00:00,CREDIT,187,146516.28,1
2025-07-26 21:00:00,DEBIT,172,88831.97,0
2025-07-26 21:00:00,P2P_TRANSFER,273,174476.56,1
2025-07-26 22:00:00,CREDIT,222,134768.72,0
2025-07-26 22:00:00,DEBIT,218,164172.01,0
2025-07-26 22:00:00,P2P_TRANSFER,225,155890.92,1
2025-07-26 23:00:00,CREDIT,275,218694.96,0
2025-07-26 23:00:00,DEBIT,322,171051.65,0
2025-07-26 23:00:00,P2P_TRANSFER,316,187989.41,0
2025-07-27 00:00:00,CREDIT,289,162370.97,1
2025-07-27 00:00:00,DEBIT,200,75136.92,0
2025-07-27 00:00:00,P2P_TRANSFER,446,91656.53,1
2025-07-27 01:00:00,CREDIT,407,168052.87,1
2025-07-27 01:00:00,DEBIT,261,159165.17,0
2025-07-27 01:00:00,P2P_TRANSFER,365,230899.2,1
2025-07-27 02:00:00,CREDIT,391,325431.84,1
2025-07-27 02:00:00,DEBIT,388,207998.81,1
2025-07-27 02:00:00,P2P_TRANSFER,390,235316.84,1
2025-07-27 03:00:00,CREDIT,507,256899.98,1
2025-07-27 03:00:00,DEBIT,246,95725.99,0
2025-07-27 03:00:00,P2P_TRANSFER,211,153246.7,1
2025-07-27 04:00:00,CREDIT,433,255270.46,2
2025-07-27 04:00:00,DEBIT,173,82524.94,0
2025-07-27 04:00:00,P2P_TRANSFER,267,134143.58,1
2025-07-27 05:00:00,CREDIT,195,92591.5,1
2025-07-27 05:00:00,DEBIT,333,154935.35,0
2025-07-27 05:00:00,P2P_TRANSFER,258,138686.59,0
2025-07-27 06:00:00,CREDIT,210,157862.66,1
2025-07-27 06:00:00,DEBIT,219,108541.18,1
2025-07-27 06:00:00,P2P_TRANSFER,195,99028.64,0
2025-07-27 07:00:00,CREDIT,166,134901.95,0
2025-07-27 07:00:00,DEBIT,243,193588.33,1
2025-07-27 07:00:00,P2P_TRANSFER,162,100017.68,0
2025-07-27 08:00:00,CREDIT,172,130624.46,0
2025-07-27 08:00:00,DEBIT,255,152541.79,1
2025-07-27 08:00:00,P2P_TRANSFER,357,271729.16,1
2025-07-27 09:00:00,CREDIT,356,225095.02,1
2025-07-27 09:00:00,DEBIT,419,227156.89,1
2025-07-27 09:00:00,P2P_TRANSFER,161,46908.31,1
2025-07-27 10:00:00,CREDIT,339,154286.84,0
2025-07-27 10:00:00,DEBIT,437,322070.77,2
2025-07-27 10:00:00,P2P_TRANSFER,439,180649.91,1
2025-07-27 11:00:00,CREDIT,442,248570.66,1
2025-07-27 11:00:00,DEBIT,359,145169.15,0
2025-07-27 11:00:00,P2P_TRANSFER,197,105490.88,0
2025-07-27 12:00:00,CREDIT,409,284618.23,1
2025-07-27 12:00:00,DEBIT,327,213869.3,0
2025-07-27 12:00:00,P2P_TRANSFER,483,215357.52,1
2025-07-27 13:00:00,CREDIT,280,222137.16,2
2025-07-27 13:00:00,DEBIT,266,197773.91,1
2025-07-27 13:00:00,P2P_TRANSFER,262,216496.44,1
2025-07-27 14:00:00,CREDIT,145,68145.5,0
2025-07-27 14:00:00,DEBIT,287,121672.01,0
2025-07-27 14:00:00,P2P_TRANSFER,238,100345.5,1
2025-07-27 15:00:00,CREDIT,165,105225.91,0
2025-07-27 15:00:00,DEBIT,167,94435.51,1
2025-07-27 15:00:00,P2P_TRANSFER,361,170736.54,1
2025-07-27 16:00:00,CREDIT,391,108605.72,0
2025-07-27 16:00:00,DEBIT,342,164710.42,2
2025-07-27 16:00:00,P2P_TRANSFER,476,343262.08,2
2025-07-27 17:00:00,CREDIT,581,438213.2,1
2025-07-27 17:00:00,DEBIT,402,236321.27,1
2025-07-27 17:00:00,P2P_TRANSFER,409,231645.28,1
2025-07-27 18:00:00,CREDIT,564,281149.96,2
2025-07-27 18:00:00,DEBIT,513,270526.3,1
2025-07-27 18:00:00,P2P_TRANSFER,312,186031.07,1
2025-07-27 19:00:00,CREDIT,270,156557.66,1
2025-07-27 19:00:00,DEBIT,355,382840.49,1
2025-07-27 19:00:00,P2P_TRANSFER,311,331863.62,0
2025-07-27 20:00:00,CREDIT,347,290151.47,1
