CaseID,TransactionID,AnalystID,Case_Status,Resolution_Code,Open_Timestamp,AnalystNotes
CS_000001,TID_000001,ANL_009,CLOSED,FN_NOT_FRAUD,2025-08-29 22:16:22,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000002,TID_000002,ANL_002,CLOSED,FN_NOT_FRAUD,2025-08-26 04:37:20,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000003,TID_000003,ANL_044,CLOSED,FN_NOT_FRAUD,2025-09-07 03:04:12,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000004,TID_000004,ANL_021,CLOSED,W_CLOSED,2025-10-04 08:27:49,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000005,TID_000005,ANL_037,CLOSED,FN_NOT_FRAUD,2025-10-18 12:10:42,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000006,TID_000006,ANL_004,OPEN,N/A,2025-08-12 21:48:33,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000007,TID_000007,ANL_008,CLOSED,FN_NOT_FRAUD,2025-08-28 04:43:21,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000008,TID_000008,ANL_008,CLOSED,FN_NOT_FRAUD,2025-09-30 08:46:18,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000009,TID_000009,ANL_001,CLOSED,FN_NOT_FRAUD,2025-09-07 10:49:55,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000010,TID_000010,ANL_021,CLOSED,FN_NOT_FRAUD,2025-08-07 23:37:06,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000011,TID_000011,ANL_045,CLOSED,FN_NOT_FRAUD,2025-10-22 17:47:30,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000012,TID_000012,ANL_050,PENDING_REVIEW,N/A,2025-09-19 11:30:38,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000013,TID_000013,ANL_005,PENDING_REVIEW,N/A,2025-08-25 18:56:40,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000014,TID_000014,ANL_008,CLOSED,FN_NOT_FRAUD,2025-10-24 11:57:57,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000015,TID_000015,ANL_006,PENDING_REVIEW,N/A,2025-10-02 07:10:05,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000016,TID_000016,ANL_041,CLOSED,FN_NOT_FRAUD,2025-10-18 23:19:53,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000017,TID_000017,ANL_021,CLOSED,FN_FRAUD,2025-08-30 10:16:15,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000018,TID_000018,ANL_008,CLOSED,FN_FRAUD,2025-10-16 18:39:34,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000019,TID_000019,ANL_007,CLOSED,FN_NOT_FRAUD,2025-08-13 19:03:41,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000020,TID_000020,ANL_009,PENDING_REVIEW,N/A,2025-10-15 03:49:37,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000021,TID_000021,ANL_043,PENDING_REVIEW,N/A,2025-10-21 22:13:10,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000022,TID_000022,ANL_015,OPEN,N/A,2025-09-04 00:38:14,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000023,TID_000023,ANL_007,CLOSED,FN_NOT_FRAUD,2025-08-22 22:12:18,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000024,TID_000024,ANL_005,CLOSED,FN_NOT_FRAUD,2025-09-18 03:15:55,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000025,TID_000025,ANL_045,CLOSED,FN_NOT_FRAUD,2025-08-28 16:26:07,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000026,TID_000026,ANL_010,CLOSED,FN_FRAUD,2025-10-01 10:52:05,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000027,TID_000027,ANL_009,PENDING_REVIEW,N/A,2025-09-03 13:41:27,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000028,TID_000028,ANL_035,CLOSED,FN_NOT_FRAUD,2025-10-07 23:31:04,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000029,TID_000029,ANL_037,CLOSED,FN_NOT_FRAUD,2025-10-16 23:03:16,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000030,TID_000030,ANL_016,CLOSED,FN_NOT_FRAUD,2025-09-09 10:38:54,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000031,TID_000031,ANL_024,OPEN,N/A,2025-08-21 09:22:08,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000032,TID_000032,ANL_034,CLOSED,FN_NOT_FRAUD,2025-10-22 19:28:42,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000033,TID_000033,ANL_014,PENDING_REVIEW,N/A,2025-10-17 20:03:51,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000034,TID_000034,ANL_001,CLOSED,W_CLOSED,2025-09-07 12:01:57,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000035,TID_000035,ANL_006,CLOSED,FN_NOT_FRAUD,2025-08-07 22:24:13,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000036,TID_000036,ANL_002,CLOSED,W_CLOSED,2025-09-14 23:24:01,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000037,TID_000037,ANL_002,CLOSED,FN_NOT_FRAUD,2025-09-08 10:42:50,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000038,TID_000038,ANL_007,CLOSED,FN_NOT_FRAUD,2025-08-16 06:02:36,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000039,TID_000039,ANL_045,CLOSED,FN_NOT_FRAUD,2025-08-07 15:10:17,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000040,TID_000040,ANL_040,CLOSED,FN_NOT_FRAUD,2025-10-03 17:17:28,"{""Summary"": ""User verified transaction as legitimate.""}"
