Blocked_ID,Block_Type,Reason_Code,Expiration_Date,Source_System
ACC_926671,ACCOUNT_ID,SANCTIONS,2027-06-24,ML Decision
CARD_000001,CARD_HASH,SPOOFING,2026-07-07,ML Decision
ACC_319698,ACCOUNT_ID,WATCHLIST,2028-03-10,ML Decision
ACC_824396,ACCOUNT_ID,SANCTIONS,2026-08-27,Compliance
228.189.238.108,IP_ADDRESS,SPOOFING,2027-12-16,External Feed
ACC_955101,ACCOUNT_ID,SPOOFING,2026-01-14,Compliance
UID_30004,USER_ID,VELOCITY_BREACH,2028-05-16,External Feed
ACC_473654,ACCOUNT_ID,HARD_FRAUD,2026-08-24,Manual Review
ACC_525779,ACCOUNT_ID,HARD_FRAUD,2026-02-13,Compliance
69.247.121.237,IP_ADDRESS,VELOCITY_BREACH,2028-01-01,ML Decision
126.143.88.9,IP_ADDRESS,WATCHLIST,2028-02-24,Manual Review
UID_41533,USER_ID,HARD_FRAUD,2028-03-15,Manual Review
CARD_000012,CARD_HASH,HARD_FRAUD,2027-02-22,External Feed
231.125.110.191,IP_ADDRESS,HARD_FRAUD,2025-08-17,ML Decision
UID_19017,USER_ID,SANCTIONS,2026-11-28,External Feed
ACC_372554,ACCOUNT_ID,HARD_FRAUD,2028-09-25,External Feed
CARD_000016,CARD_HASH,HARD_FRAUD,2027-09-10,Manual Review
UID_59914,USER_ID,VELOCITY_BREACH,2027-01-29,Manual Review
UID_38393,USER_ID,HARD_FRAUD,2028-07-26,External Feed
213.126.67.173,IP_ADDRESS,HARD_FRAUD,2027-03-11,External Feed
UID_66202,USER_ID,WATCHLIST,2027-09-01,Manual Review
14.36.35.55,IP_ADDRESS,SPOOFING,2027-03-05,Manual Review
UID_35107,USER_ID,HARD_FRAUD,2028-02-28,ML Decision
UID_35918,USER_ID,HARD_FRAUD,2025-12-24,Compliance
CARD_000024,CARD_HASH,HARD_FRAUD,2026-05-06,Manual Review
UID_91394,USER_ID,VELOCITY_BREACH,2028-02-02,Manual Review
CARD_000026,CARD_HASH,WATCHLIST,2028-08-11,External Feed
ACC_173003,ACCOUNT_ID,SANCTIONS,2025-12-12,ML Decision
ACC_907547,ACCOUNT_ID,WATCHLIST,2026-04-08,ML Decision
ACC_198006,ACCOUNT_ID,HARD_FRAUD,2028-03-08,ML Decision
MID_2265,MERCHANT_ID,HARD_FRAUD,2026-09-07,ML Decision
CARD_000031,CARD_HASH,HARD_FRAUD,2027-05-09,ML Decision
UID_96069,USER_ID,SANCTIONS,2026-12-06,Manual Review
UID_88823,USER_ID,SPOOFING,2026-11-08,ML Decision
155.60.174.183,IP_ADDRESS,HARD_FRAUD,2026-01-29,ML Decision
UID_81412,USER_ID,HARD_FRAUD,2028-03-28,ML Decision
UID_61689,USER_ID,HARD_FRAUD,2027-07-15,ML Decision
UID_95295,USER_ID,SPOOFING,2028-06-02,Manual Review
UID_62054,USER_ID,SANCTIONS,2028-10-11,Manual Review
UID_18956,USER_ID,VELOCITY_BREACH,2027-11-24,ML Decision
73.204.130.20,IP_ADDRESS,HARD_FRAUD,2026-05-04,ML Decision
ACC_746067,ACCOUNT_ID,VELOCITY_BREACH,2026-09-28,ML Decision
MID_4338,MERCHANT_ID,SANCTIONS,2024-11-09,ML Decision
58.84.27.115,IP_ADDRESS,SPOOFING,2027-08-30,ML Decision
MID_6179,MERCHANT_ID,HARD_FRAUD,2026-12-30,Manual Review
UID_69424,USER_ID,VELOCITY_BREACH,2025-11-03,ML Decision
ACC_976953,ACCOUNT_ID,HARD_FRAUD,2028-02-12,Manual Review
213.242.242.55,IP_ADDRESS,WATCHLIST,2028-04-23,External Feed
CARD_000048,CARD_HASH,SANCTIONS,2028-06-29,ML Decision
14.226.49.151,IP_ADDRESS,HARD_FRAUD,2027-05-07,ML Decision
UID_11855,USER_ID,WATCHLIST,2028-08-07,ML Decision
UID_45948,USER_ID,HARD_FRAUD,2025-12-07,Manual Review
CARD_000052,CARD_HASH,HARD_FRAUD,2028-02-28,Manual Review
UID_13130,USER_ID,SANCTIONS,2026-07-19,Manual Review
113.148.95.240,IP_ADDRESS,VELOCITY_BREACH,2028-09-29,Manual Review
203.6.167.193,IP_ADDRESS,SPOOFING,2027-03-26,Manual Review
75.135.213.180,IP_ADDRESS,HARD_FRAUD,2026-07-16,ML Decision
ACC_715431,ACCOUNT_ID,WATCHLIST,2026-12-16,ML Decision
UID_33026,USER_ID,HARD_FRAUD,2026-04-10,Manual Review
MID_1687,MERCHANT_ID,SPOOFING,2026-04-10,ML Decision
140.119.52.236,IP_ADDRESS,HARD_FRAUD,2026-02-19,ML Decision
UID_27585,USER_ID,SANCTIONS,2028-06-24,External Feed
ACC_688619,ACCOUNT_ID,SPOOFING,2025-12-01,Manual Review
