FeedID,TransactionID,IP_Risk_Score,Email_Domain_Age,VPN_Flag
FID_000001,TID_000001,3.5,505,True
FID_000002,TID_000002,19.2,2154,False
FID_000003,TID_000003,11.4,5000,False
FID_000004,TID_000004,13.1,253,False
FID_000005,TID_000005,7.0,302,False
FID_000006,TID_000006,18.3,3109,False
FID_000007,TID_000007,9.6,86,False
FID_000008,TID_000008,5.1,226,True
FID_000009,TID_000009,3.2,38,False
FID_000010,TID_000010,9.4,1493,False
FID_000011,TID_000011,12.1,2594,False
FID_000012,TID_000012,1.2,5000,False
FID_000013,TID_000013,4.2,717,False
FID_000014,TID_000014,7.6,3276,False
FID_000015,TID_000015,2.6,695,True
FID_000016,TID_000016,7.5,5000,False
FID_000017,TID_000017,30.7,4237,False
FID_000018,TID_000018,17.9,5000,False
FID_000019,TID_000019,8.2,46,False
FID_000020,TID_000020,9.4,954,False
FID_000021,TID_000021,1.0,5000,False
FID_000022,TID_000022,7.2,301,False
FID_000023,TID_000023,3.4,594,False
FID_000024,TID_000024,4.3,5000,False
FID_000025,TID_000025,3.5,59,True
FID_000026,TID_000026,1.0,14,True
FID_000027,TID_000027,5.7,2128,False
FID_000028,TID_000028,13.8,5000,False
FID_000029,TID_000029,2.9,5000,False
FID_000030,TID_000030,3.3,361,False
FID_000031,TID_000031,11.7,53,False
FID_000032,TID_000032,5.3,70,False
FID_000033,TID_000033,1.0,650,False
FID_000034,TID_000034,26.3,24,True
FID_000035,TID_000035,28.7,5000,False
FID_000036,TID_000036,2.7,974,False
FID_000037,TID_000037,7.3,234,False
FID_000038,TID_000038,1.0,347,False
FID_000039,TID_000039,5.7,2245,True
FID_000040,TID_000040,11.3,1487,False
FID_000041,TID_000041,4.9,1571,False
FID_000042,TID_000042,2.4,5000,False
FID_000043,TID_000043,8.5,62,True
FID_000044,TID_000044,26.2,728,False
FID_000045,TID_000045,4.5,20,True
FID_000046,TID_000046,18.4,5000,False
FID_000047,TID_000047,1.5,1302,False
FID_000048,TID_000048,16.7,149,False
FID_000049,TID_000049,2.7,398,False
FID_000050,TID_000050,19.6,4068,False
FID_000051,TID_000051,26.4,3449,True
FID_000052,TID_000052,11.4,5000,False
FID_000053,TID_000053,22.2,506,True
FID_000054,TID_000054,23.6,466,False
FID_000055,TID_000055,9.1,5000,False
FID_000056,TID_000056,4.4,92,True
FID_000057,TID_000057,23.3,367,False
FID_000058,TID_000058,30.7,154,False
FID_000059,TID_000059,1.3,5000,False
FID_000060,TID_000060,28.9,244,False
FID_000061,TID_000061,25.2,312,False
FID_000062,TID_000062,31.2,308,False
FID_000063,TID_000063,3.4,887,False
FID_000064,TID_000064,9.2,152,False
FID_000065,TID_000065,11.1,4786,False
FID_000066,TID_000066,1.0,3371,False
FID_000067,TID_000067,11.1,5000,False
FID_000068,TID_000068,7.1,1038,False
FID_000069,TID_000069,14.3,375,False
FID_000070,TID_000070,9.1,26,False
FID_000071,TID_000071,37.3,5000,True
FID_000072,TID_000072,4.8,5000,False
FID_000073,TID_000073,15.6,5000,False
FID_000074,TID_000074,1.0,112,True
FID_000075,TID_000075,1.0,276,False
FID_000076,TID_000076,32.5,579,False
FID_000077,TID_000077,4.5,2295,True
FID_000078,TID_000078,6.7,3792,False
FID_000079,TID_000079,10.0,1452,False
FID_000080,TID_000080,19.2,5000,False
FID_000081,TID_000081,3.4,109,False
FID_000082,TID_000082,17.0,2930,False
FID_000083,TID_000083,14.4,4212,False
FID_000084,TID_000084,8.3,513,False
FID_000085,TID_000085,23.8,317,False
FID_000086,TID_000086,25.2,771,False
FID_000087,TID_000087,1.0,2088,False
FID_000088,TID_000088,24.8,1440,False
FID_000089,TID_000089,8.7,27,False
FID_000090,TID_000090,1.0,3007,False
FID_000091,TID_000091,3.5,129,False
FID_000092,TID_000092,9.9,956,False
FID_000093,TID_000093,11.2,431,False
FID_000094,TID_000094,1.0,2518,True
FID_000095,TID_000095,3.1,1212,True
FID_000096,TID_000096,8.0,5000,False
FID_000097,TID_000097,6.0,790,False
FID_000098,TID_000098,22.8,2004,False
