MerchantID,Industry_Code,Avg_Transaction_Size,Fraud_Rate_30d,GeoBlacklist
MID_00001,IND_15,10.6,0.005,"[""CD""]"
MID_00002,IND_08,248.98,0.0172,"[""SY"", ""VE""]"
MID_00003,IND_11,89.71,0.005,[]
MID_00004,IND_17,87.72,0.0154,[]
MID_00005,IND_16,224.36,0.0063,"[""SY""]"
MID_00006,IND_15,100.77,0.0073,"[""CD""]"
MID_00007,IND_19,309.04,0.0045,[]
MID_00008,IND_05,327.27,0.0018,"[""KP""]"
MID_00009,IND_19,143.51,0.0188,[]
MID_00010,IND_04,456.37,0.0097,[]
MID_00011,IND_17,56.64,0.0078,"[""KP"", ""UA"", ""IR""]"
MID_00012,IND_14,225.03,0.023,[]
MID_00013,IND_06,1.0,0.013,"[""AF"", ""CD"", ""KP""]"
MID_00014,IND_20,112.94,0.0107,[]
MID_00015,IND_19,318.96,0.0123,"[""SY"", ""RU""]"
MID_00016,IND_03,464.69,0.0031,[]
MID_00017,IND_08,467.35,0.0088,[]
MID_00018,IND_16,250.97,0.0115,[]
MID_00019,IND_15,222.33,0.0134,"[""CD"", ""IR""]"
MID_00020,IND_07,357.84,0.0051,"[""KP""]"
MID_00021,IND_15,220.59,0.0078,[]
MID_00022,IND_02,1030.98,0.0083,"[""KP"", ""IR""]"
MID_00023,IND_09,70.61,0.0047,"[""SY""]"
MID_00024,IND_03,603.49,0.0206,[]
MID_00025,IND_02,921.95,0.0054,[]
MID_00026,IND_11,86.66,0.0028,"[""CD""]"
MID_00027,IND_01,1.0,0.0049,"[""VE"", ""UA"", ""KP""]"
MID_00028,IND_09,760.35,0.0123,[]
MID_00029,IND_01,253.25,0.0089,"[""RU"", ""KP"", ""AF""]"
MID_00030,IND_15,176.79,0.0086,[]
MID_00031,IND_05,505.61,0.017,[]
MID_00032,IND_18,303.76,0.0171,"[""AF""]"
MID_00033,IND_04,1.0,0.012,[]
MID_00034,IND_24,51.56,0.0184,[]
MID_00035,IND_01,921.49,0.0111,[]
MID_00036,IND_14,147.62,0.0065,"[""VE"", ""IR"", ""RU""]"
MID_00037,IND_20,129.63,0.0204,[]
MID_00038,IND_17,244.95,0.007,[]
MID_00039,IND_12,46.79,0.0105,"[""RU"", ""UA"", ""VE""]"
MID_00040,IND_15,278.93,0.0024,[]
MID_00041,IND_23,60.07,0.0027,"[""AF""]"
MID_00042,IND_02,141.8,0.0185,"[""VE""]"
MID_00043,IND_30,52.58,0.0157,"[""AF""]"
MID_00044,IND_29,42.79,0.0145,[]
MID_00045,IND_17,52.77,0.0072,[]
MID_00046,IND_01,1225.83,0.0069,[]
MID_00047,IND_07,786.89,0.0075,[]
MID_00048,IND_07,174.54,0.0083,[]
MID_00049,IND_07,856.52,0.0024,[]
MID_00050,IND_06,206.99,0.007,[]
MID_00051,IND_10,282.4,0.004,"[""SY"", ""KP""]"
MID_00052,IND_07,655.93,0.0021,[]
MID_00053,IND_04,399.56,0.0133,"[""CD""]"
MID_00054,IND_07,69.27,0.007,[]
MID_00055,IND_20,204.45,0.0183,"[""KP""]"
MID_00056,IND_18,150.63,0.0058,[]
MID_00057,IND_12,114.15,0.0102,"[""SY"", ""KP""]"
MID_00058,IND_23,71.27,0.0034,[]
MID_00059,IND_06,1.0,0.0065,[]
MID_00060,IND_20,200.53,0.0062,"[""CD""]"
MID_00061,IND_14,151.87,0.0067,[]
