LogID,TransactionID,Model_Version,Prediction_Score,Decision_Engine_Result,Final_Outcome,FeatureVector
LID_000001,TID_000001,v1.3,0.1601,REVIEW,CLEARED,"{""Txn_Amt"": 308.48, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 37.7}"
LID_000002,TID_000002,v1.3,0.1606,REVIEW,CLEARED,"{""Txn_Amt"": 101.03, ""Txn_Count_5m"": 4, ""Geo_Match"": false, ""Risk_Score"": 50.7}"
LID_000003,TID_000003,v1.3,0.0518,ACCEPT,CLEARED,"{""Txn_Amt"": 26.96, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 57.9}"
LID_000004,TID_000004,v1.3,0.0166,ACCEPT,CLEARED,"{""Txn_Amt"": 269.38, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 96.4}"
LID_000005,TID_000005,v1.3,0.1272,REVIEW,CLEARED,"{""Txn_Amt"": 4.38, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 0.5}"
LID_000006,TID_000006,v1.3,0.2517,REVIEW,CLEARED,"{""Txn_Amt"": 29.75, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 52.5}"
LID_000007,TID_000007,v1.3,0.0151,ACCEPT,CLEARED,"{""Txn_Amt"": 1380.32, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 83.9}"
LID_000008,TID_000008,v1.3,0.1815,REVIEW,CLEARED,"{""Txn_Amt"": 35.47, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 51.2}"
LID_000009,TID_000009,v1.3,0.3568,REVIEW,CLEARED,"{""Txn_Amt"": 184.9, ""Txn_Count_5m"": 4, ""Geo_Match"": false, ""Risk_Score"": 63.3}"
LID_000010,TID_000010,v1.4,0.0065,ACCEPT,CLEARED,"{""Txn_Amt"": 98.82, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 11.6}"
LID_000011,TID_000011,v1.2,0.6253,DECLINE,FRAUD,"{""Txn_Amt"": 129.32, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 23.0}"
LID_000012,TID_000012,v1.3,0.0047,ACCEPT,CLEARED,"{""Txn_Amt"": 35.02, ""Txn_Count_5m"": 4, ""Geo_Match"": false, ""Risk_Score"": 8.7}"
LID_000013,TID_000013,v1.3,0.0462,ACCEPT,CLEARED,"{""Txn_Amt"": 34.26, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 49.8}"
LID_000014,TID_000014,v1.4,0.118,REVIEW,CLEARED,"{""Txn_Amt"": 36.67, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 16.9}"
LID_000015,TID_000015,v1.3,0.4682,REVIEW,FRAUD,"{""Txn_Amt"": 348.91, ""Txn_Count_5m"": 0, ""Geo_Match"": true, ""Risk_Score"": 81.1}"
LID_000016,TID_000016,v1.3,0.0865,ACCEPT,CLEARED,"{""Txn_Amt"": 19.86, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 96.3}"
LID_000017,TID_000017,v1.3,0.1435,REVIEW,CLEARED,"{""Txn_Amt"": 74.3, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 8.5}"
LID_000018,TID_000018,v1.3,0.111,REVIEW,CLEARED,"{""Txn_Amt"": 20.64, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 7.9}"
LID_000019,TID_000019,v1.3,0.2102,REVIEW,CLEARED,"{""Txn_Amt"": 103.88, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 77.5}"
LID_000020,TID_000020,v1.3,0.0534,ACCEPT,CLEARED,"{""Txn_Amt"": 255.05, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 58.1}"
LID_000021,TID_000021,v1.4,0.1094,REVIEW,CLEARED,"{""Txn_Amt"": 218.75, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 13.1}"
LID_000022,TID_000022,v1.3,0.0149,ACCEPT,CLEARED,"{""Txn_Amt"": 975.16, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 60.3}"
LID_000023,TID_000023,v1.4,0.0174,ACCEPT,CLEARED,"{""Txn_Amt"": 99.82, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 14.3}"
LID_000024,TID_000024,v1.4,0.106,REVIEW,CLEARED,"{""Txn_Amt"": 154.56, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 42.9}"
LID_000025,TID_000025,v1.3,0.0365,ACCEPT,CLEARED,"{""Txn_Amt"": 137.1, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 84.3}"
LID_000026,TID_000026,v1.4,0.3224,REVIEW,CLEARED,"{""Txn_Amt"": 74.59, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 26.5}"
LID_000027,TID_000027,v1.2,0.0716,ACCEPT,CLEARED,"{""Txn_Amt"": 28.98, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 85.4}"
LID_000028,TID_000028,v1.3,0.001,ACCEPT,FRAUD,"{""Txn_Amt"": 148.98, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 66.8}"
LID_000029,TID_000029,v1.3,0.1763,REVIEW,CLEARED,"{""Txn_Amt"": 23.58, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 6.5}"
LID_000030,TID_000030,v1.3,0.0771,ACCEPT,CLEARED,"{""Txn_Amt"": 332.7, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 18.6}"
LID_000031,TID_000031,v1.4,0.0027,ACCEPT,CLEARED,"{""Txn_Amt"": 140.08, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 90.1}"
LID_000032,TID_000032,v1.2,0.2085,REVIEW,CLEARED,"{""Txn_Amt"": 64.93, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 53.8}"
LID_000033,TID_000033,v1.3,0.2873,REVIEW,CLEARED,"{""Txn_Amt"": 40.89, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 89.0}"
LID_000034,TID_000034,v1.4,0.2239,REVIEW,CLEARED,"{""Txn_Amt"": 125.87, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 10.5}"
LID_000035,TID_000035,v1.3,0.138,REVIEW,CLEARED,"{""Txn_Amt"": 36.34, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 98.5}"
LID_000036,TID_000036,v1.3,0.1274,REVIEW,CLEARED,"{""Txn_Amt"": 53.6, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 30.5}"
LID_000037,TID_000037,v1.3,0.001,ACCEPT,FRAUD,"{""Txn_Amt"": 363.31, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 23.3}"
LID_000038,TID_000038,v1.4,0.1462,REVIEW,CLEARED,"{""Txn_Amt"": 8.68, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 39.5}"
LID_000039,TID_000039,v1.3,0.0847,ACCEPT,CLEARED,"{""Txn_Amt"": 142.82, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 47.5}"
LID_000040,TID_000040,v1.3,0.0483,ACCEPT,CLEARED,"{""Txn_Amt"": 204.41, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 58.3}"
LID_000041,TID_000041,v1.2,0.0333,ACCEPT,CLEARED,"{""Txn_Amt"": 299.49, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 94.8}"
LID_000042,TID_000042,v1.3,0.0011,ACCEPT,CLEARED,"{""Txn_Amt"": 78.24, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 30.6}"
LID_000043,TID_000043,v1.3,0.1094,REVIEW,CLEARED,"{""Txn_Amt"": 313.43, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 9.2}"
LID_000044,TID_000044,v1.4,0.0777,ACCEPT,CLEARED,"{""Txn_Amt"": 121.07, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 82.0}"
LID_000045,TID_000045,v1.2,0.2146,REVIEW,CLEARED,"{""Txn_Amt"": 45.82, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 43.6}"
LID_000046,TID_000046,v1.3,0.001,ACCEPT,CLEARED,"{""Txn_Amt"": 124.85, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 55.8}"
LID_000047,TID_000047,v1.3,0.2304,REVIEW,CLEARED,"{""Txn_Amt"": 150.05, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 95.1}"
LID_000048,TID_000048,v1.3,0.0289,ACCEPT,CLEARED,"{""Txn_Amt"": 232.47, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 72.7}"
LID_000049,TID_000049,v1.4,0.3794,REVIEW,CLEARED,"{""Txn_Amt"": 242.9, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 29.8}"
LID_000050,TID_000050,v1.4,0.0752,ACCEPT,CLEARED,"{""Txn_Amt"": 9.12, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 73.8}"
LID_000051,TID_000051,v1.4,0.1021,REVIEW,CLEARED,"{""Txn_Amt"": 75.35, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 70.4}"
LID_000052,TID_000052,v1.3,0.4422,REVIEW,CLEARED,"{""Txn_Amt"": 133.7, ""Txn_Count_5m"": 4, ""Geo_Match"": false, ""Risk_Score"": 53.9}"
LID_000053,TID_000053,v1.3,0.1137,REVIEW,CLEARED,"{""Txn_Amt"": 53.13, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 94.4}"
LID_000054,TID_000054,v1.4,0.0361,ACCEPT,CLEARED,"{""Txn_Amt"": 83.38, ""Txn_Count_5m"": 4, ""Geo_Match"": false, ""Risk_Score"": 16.3}"
LID_000055,TID_000055,v1.3,0.0058,ACCEPT,CLEARED,"{""Txn_Amt"": 33.96, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 35.7}"
LID_000056,TID_000056,v1.3,0.0467,ACCEPT,CLEARED,"{""Txn_Amt"": 98.87, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 43.2}"
LID_000057,TID_000057,v1.3,0.061,ACCEPT,CLEARED,"{""Txn_Amt"": 126.21, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 32.3}"
LID_000058,TID_000058,v1.4,0.015,ACCEPT,CLEARED,"{""Txn_Amt"": 393.34, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 74.5}"
LID_000059,TID_000059,v1.4,0.0733,ACCEPT,CLEARED,"{""Txn_Amt"": 42.67, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 97.3}"
LID_000060,TID_000060,v1.4,0.3051,REVIEW,CLEARED,"{""Txn_Amt"": 129.78, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 45.2}"
LID_000061,TID_000061,v1.3,0.0278,ACCEPT,CLEARED,"{""Txn_Amt"": 49.18, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 51.9}"
LID_000062,TID_000062,v1.3,0.2429,REVIEW,CLEARED,"{""Txn_Amt"": 174.4, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 83.7}"
LID_000063,TID_000063,v1.4,0.0297,ACCEPT,CLEARED,"{""Txn_Amt"": 57.86, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 52.3}"
LID_000064,TID_000064,v1.3,0.0258,ACCEPT,CLEARED,"{""Txn_Amt"": 327.06, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 74.1}"
LID_000065,TID_000065,v1.3,0.0442,ACCEPT,CLEARED,"{""Txn_Amt"": 21.51, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 49.3}"
LID_000066,TID_000066,v1.4,0.1921,REVIEW,CLEARED,"{""Txn_Amt"": 116.63, ""Txn_Count_5m"": 4, ""Geo_Match"": false, ""Risk_Score"": 99.4}"
LID_000067,TID_000067,v1.3,0.008,ACCEPT,CLEARED,"{""Txn_Amt"": 16.9, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 9.8}"
LID_000068,TID_000068,v1.4,0.2035,REVIEW,CLEARED,"{""Txn_Amt"": 26.86, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 37.9}"
LID_000069,TID_000069,v1.3,0.1515,REVIEW,CLEARED,"{""Txn_Amt"": 217.42, ""Txn_Count_5m"": 0, ""Geo_Match"": true, ""Risk_Score"": 81.5}"
LID_000070,TID_000070,v1.3,0.1484,REVIEW,FRAUD,"{""Txn_Amt"": 58.93, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 29.5}"
LID_000071,TID_000071,v1.3,0.0127,ACCEPT,CLEARED,"{""Txn_Amt"": 489.66, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 83.0}"
LID_000072,TID_000072,v1.4,0.0093,ACCEPT,CLEARED,"{""Txn_Amt"": 137.0, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 88.8}"
LID_000073,TID_000073,v1.3,0.0043,ACCEPT,CLEARED,"{""Txn_Amt"": 245.13, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 27.8}"
LID_000074,TID_000074,v1.3,0.0972,ACCEPT,CLEARED,"{""Txn_Amt"": 21.71, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 66.9}"
LID_000075,TID_000075,v1.3,0.0947,ACCEPT,CLEARED,"{""Txn_Amt"": 69.48, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 32.9}"
LID_000076,TID_000076,v1.3,0.0032,ACCEPT,CLEARED,"{""Txn_Amt"": 80.19, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 33.6}"
LID_000077,TID_000077,v1.3,0.0058,ACCEPT,CLEARED,"{""Txn_Amt"": 197.74, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 87.5}"
