UserID,Txn_Count_5m,Avg_Amt_1h,Foreign_Country_Count_1d,Velocity_Score
UID_06806,3,80.39,0,17.3
UID_04576,1,18.12,0,25.6
UID_06243,1,63.84,0,2.5
UID_13131,0,1381.26,0,39.6
UID_04109,0,23.52,2,10.8
UID_04774,0,64.88,0,0.0
UID_05695,0,97.93,0,20.5
UID_06185,2,14.33,2,32.6
UID_14608,0,0.0,0,10.4
UID_02684,0,0.0,0,0.0
UID_02799,0,69.39,1,24.4
UID_02459,0,5.0,0,0.0
UID_00685,0,0.0,0,0.0
UID_05875,0,342.84,0,16.8
UID_11514,1,60.97,0,11.8
UID_06290,0,12.99,0,0.0
UID_03979,0,0.0,0,0.0
UID_02898,0,0.0,0,5.0
UID_11105,0,16.52,0,2.8
UID_12571,0,139.58,0,15.1
UID_02575,0,12.36,0,3.5
UID_11136,0,22.98,1,17.7
UID_11621,1,194.31,0,35.2
UID_04098,0,342.35,0,0.0
UID_00990,0,409.27,1,9.2
UID_02957,0,32.05,0,17.0
UID_07093,0,0.0,0,4.2
UID_10198,0,0.0,0,0.0
UID_04559,0,70.87,0,21.6
UID_14361,2,97.59,0,31.3
UID_02778,0,21.84,2,10.7
UID_01900,0,218.28,2,15.4
UID_01668,0,154.25,0,8.2
UID_01580,0,60.95,0,12.2
UID_13832,2,28.15,0,7.7
UID_13552,0,23.78,0,18.1
UID_04811,0,166.89,0,3.8
UID_09156,0,19.12,0,18.3
UID_06544,0,55.12,0,22.6
UID_00475,0,0.0,2,19.6
UID_08205,0,15.12,0,12.0
UID_02529,0,0.0,0,7.0
UID_13812,0,377.34,0,14.4
UID_07405,0,18.04,0,6.2
UID_09613,0,23.4,0,15.0
UID_13212,0,0.0,0,0.0
UID_03821,0,39.57,0,0.0
UID_05869,0,113.76,0,15.6
UID_06961,0,81.02,0,23.1
UID_07952,0,56.54,0,2.4
UID_04955,0,33.49,0,0.0
UID_09106,0,37.99,1,16.3
UID_00551,0,0.0,0,0.0
UID_08001,0,12.85,0,11.8
UID_08062,0,147.54,0,10.7
UID_03389,0,0.0,0,0.0
UID_08803,3,9.68,0,11.6
UID_06952,0,150.8,0,17.5
UID_09892,1,9.81,0,14.0
UID_14481,0,106.59,1,21.6
UID_05995,0,35.32,0,13.0
UID_01922,2,26.53,0,26.8
UID_04440,0,23.65,0,16.9
UID_01155,0,34.58,0,10.6
UID_14093,2,39.58,0,24.6
UID_06797,0,170.82,0,0.0
UID_05896,0,152.22,2,24.5
UID_11217,0,9.61,0,8.5
UID_06228,0,11.69,2,18.9
UID_14737,0,83.48,0,3.5
UID_14956,0,45.8,0,37.2
UID_09970,0,148.38,0,4.6
UID_14610,0,16.25,0,12.3
UID_06264,1,81.77,0,40.6
UID_03141,2,40.12,2,17.0
UID_09850,0,115.71,0,33.4
UID_01052,0,36.61,0,12.6
UID_14997,0,37.68,0,0.0
UID_06175,0,15.19,0,22.8
UID_05711,0,0.0,0,0.0
UID_08508,3,55.37,0,8.0
UID_08631,1,299.65,1,33.6
UID_10496,1,158.04,0,25.8
UID_03495,0,67.39,0,11.3
UID_00167,0,93.95,1,18.8
UID_01735,0,29.45,1,3.4
UID_09894,0,27.88,0,0.0
UID_03294,0,140.94,0,7.2
UID_03175,0,91.17,2,0.0
UID_04434,0,0.0,1,12.9
UID_10748,2,15.91,0,24.0
UID_14785,0,51.35,0,12.5
UID_05295,0,89.92,0,2.9
UID_01978,2,36.44,0,27.1
UID_06568,0,7.77,0,0.0
UID_04965,0,0.0,1,0.0
UID_07978,0,140.64,0,13.0
UID_14441,0,0.0,0,20.2
UID_12264,4,245.77,0,17.2
UID_01891,0,0.0,0,0.0
UID_02743,0,23.85,0,3.1
UID_00467,0,0.0,0,22.0
UID_12926,0,16.65,0,12.9
UID_13405,0,456.03,0,15.4
UID_01035,0,279.67,0,4.9
UID_10289,0,32.29,0,0.0
UID_04407,0,22.4,0,17.1
UID_01929,0,201.89,0,12.1
UID_09959,0,41.56,0,4.3
UID_03742,0,32.64,0,0.0
UID_01823,2,80.21,0,17.7
UID_04682,0,10.9,0,5.3
UID_12038,1,18.6,0,19.9
UID_07499,0,6.5,0,13.8
UID_11096,0,77.96,0,14.7
UID_03705,1,61.63,0,32.1
UID_01325,0,102.66,0,15.9
UID_06065,0,63.31,0,13.1
UID_05527,0,116.39,0,9.7
UID_04353,1,29.65,0,0.0
UID_02945,0,0.0,0,7.3
UID_05217,0,75.83,0,13.6
UID_06423,0,64.88,0,14.2
UID_07138,0,12.3,0,10.0
UID_10968,0,0.0,0,6.2
UID_07782,0,33.39,0,16.3
UID_04013,0,0.0,0,0.4
UID_01361,0,27.07,1,11.4
UID_06210,2,36.96,0,13.2
UID_04459,0,111.16,0,17.3
UID_07496,0,375.55,0,1.7
UID_00887,1,31.35,0,9.2
UID_11860,0,17.01,0,8.2
UID_14813,0,0.0,0,15.7
UID_01566,0,91.41,0,14.1
UID_09224,0,17.99,0,24.0
UID_14615,0,54.42,0,11.7
UID_00710,0,0.0,0,1.6
UID_09891,2,264.68,0,33.4
UID_10747,2,131.03,0,13.4
UID_03826,0,33.51,0,17.4
UID_07333,0,112.48,0,26.9
UID_04533,0,0.0,0,7.9
UID_00026,0,0.0,0,0.0
UID_09265,0,104.28,0,1.8
UID_02900,0,110.78,0,7.9
UID_09446,0,0.0,0,4.9
UID_08250,0,0.0,0,4.9
UID_06704,0,5.09,0,14.5
UID_09729,0,0.0,0,0.0
UID_11398,0,61.91,0,10.7
UID_08207,0,46.33,0,13.1
UID_05853,2,91.2,0,17.2
UID_05601,2,9.59,0,13.5
UID_12969,2,34.33,0,4.6
UID_00048,0,132.77,1,2.2
UID_01286,0,81.06,0,13.1
UID_02427,0,98.93,0,32.4
UID_04955,2,26.99,0,1.5
UID_13154,0,693.57,0,25.8
UID_02931,0,22.68,0,12.0
UID_05784,2,27.15,0,19.7
UID_14409,0,16.16,0,13.0
UID_03293,1,94.2,0,17.8
UID_07433,0,0.0,0,0.0
UID_02834,0,241.54,2,12.8
UID_14810,0,144.27,0,15.6
UID_00034,0,115.46,0,30.8
UID_00098,0,87.7,0,18.6
UID_02910,0,0.0,0,1.1
UID_08804,0,28.87,0,10.4
UID_07641,0,38.38,1,2.6
UID_09030,2,103.34,0,23.9
UID_04670,0,5.0,1,0.0
UID_04628,0,45.58,0,5.8
UID_07453,1,122.18,1,11.8
UID_09668,0,72.98,2,0.0
UID_06493,0,23.93,0,0.0
UID_05948,2,45.94,2,37.8
UID_04862,0,40.51,0,0.0
UID_09563,0,90.29,0,5.1
UID_03122,1,96.61,0,20.5
UID_11842,0,78.62,0,18.9
UID_05983,0,50.97,1,0.0
UID_09478,1,14.62,0,27.6
UID_07723,1,30.32,0,3.3
UID_06610,0,165.0,0,7.5
UID_14966,0,0.0,0,8.5
UID_09500,0,129.94,0,41.2
UID_01158,1,91.61,0,19.2
UID_08760,1,23.45,0,28.7
UID_08039,1,18.09,0,7.5
UID_11683,2,72.32,2,28.7
UID_10251,1,29.92,0,15.9
UID_07297,0,0.0,0,0.0
UID_05292,0,104.55,0,16.6
UID_09354,1,25.05,0,8.3
UID_03576,1,200.83,0,8.9
UID_09789,0,5.97,0,10.5
UID_10257,0,40.94,0,21.2
UID_12208,0,27.96,0,2.0
UID_06333,0,0.0,0,7.4
UID_05849,0,36.03,0,12.7
UID_06065,0,229.49,0,32.8
UID_10979,0,115.82,2,6.0
UID_05496,0,18.41,0,0.0
UID_13485,0,40.12,0,0.5
UID_03196,0,250.16,0,39.6
UID_11368,1,95.57,0,5.2
UID_01072,4,22.71,0,39.6
UID_04624,0,19.94,1,2.7
UID_03989,0,0.0,1,0.0
UID_05416,1,493.12,0,8.3
UID_01668,0,72.96,0,2.8
UID_10655,0,11.12,1,0.0
UID_06005,0,0.0,0,21.3
UID_07819,0,0.0,0,0.0
UID_00587,0,19.19,1,15.4
UID_04733,4,71.45,0,32.4
UID_13107,0,70.71,0,3.2
UID_03967,2,44.66,0,16.4
UID_10004,2,102.75,0,18.8
UID_13255,0,66.8,0,11.2
UID_03073,0,13.67,0,0.0
UID_06817,0,199.62,0,0.0
UID_09289,1,314.62,2,20.9
UID_13957,1,57.55,2,16.5
UID_04871,0,23.21,1,6.9
UID_09747,2,85.45,0,32.5
UID_07097,0,366.55,0,0.8
UID_09417,0,0.0,0,9.6
UID_12377,0,0.0,0,0.0
UID_08056,0,127.11,0,21.5
UID_10962,2,88.99,0,33.1
UID_00316,0,81.17,0,13.8
UID_01936,0,5.64,0,10.1
UID_00817,0,340.24,0,5.2
UID_02198,2,13.5,1,23.1
UID_10652,0,95.61,0,7.5
UID_03512,0,61.55,0,5.4
UID_10412,2,25.14,0,23.3
UID_03971,4,39.71,0,46.7
UID_01321,3,12.17,0,8.9
UID_11185,0,136.15,0,10.6
UID_11229,2,245.82,0,28.9
UID_01061,0,0.0,0,5.9
UID_00025,0,214.51,0,24.4
UID_06661,0,0.0,0,16.5
UID_06079,0,110.36,0,19.4
UID_11011,0,16.58,0,3.3
UID_10080,1,43.74,0,18.6
UID_06857,0,57.01,0,13.8
UID_10804,0,898.07,0,30.8
UID_04583,0,0.0,0,6.5
UID_08148,0,35.76,0,0.0
UID_10028,0,23.05,0,0.0
UID_07732,0,73.97,1,13.8
UID_14067,0,0.0,0,12.3
UID_08266,0,58.19,0,1.1
UID_08006,4,126.03,1,26.3
UID_12108,0,188.56,0,11.1
UID_12199,1,882.33,0,12.7
UID_04107,1,5.0,0,7.5
UID_01508,0,42.56,0,15.5
UID_00098,0,55.54,0,7.0
UID_04634,0,97.22,0,18.6
UID_04221,1,20.59,1,6.7
UID_14256,0,11.33,0,9.0
UID_07902,0,0.0,0,3.1
UID_04833,0,194.63,0,30.6
UID_07213,0,124.38,0,0.0
UID_13578,1,1080.18,0,20.2
UID_09496,2,275.08,1,38.5
UID_12906,0,119.25,0,36.1
UID_11340,2,8.53,0,5.2
UID_11089,1,23.81,0,0.0
UID_05573,1,498.87,1,35.0
UID_13921,0,55.56,0,18.6
UID_07090,0,173.41,0,14.0
UID_00578,0,0.0,0,0.0
UID_00786,1,23.04,2,12.5
UID_01855,1,14.49,1,18.2
UID_01226,1,27.54,0,19.7
UID_11311,3,8.82,0,28.0
UID_04626,0,0.0,0,4.5
UID_02455,2,172.46,0,21.0
UID_02984,0,73.03,0,12.1
UID_11634,1,93.58,0,26.4
UID_04379,2,159.15,0,35.5
UID_00673,0,198.95,0,2.5
UID_10804,0,13.36,0,0.0
UID_14460,1,27.23,0,26.7
UID_11581,0,198.48,0,11.8
UID_01925,0,179.75,0,12.7
UID_02792,2,126.29,0,41.0
UID_13392,0,255.93,0,8.5
UID_06546,0,54.94,2,0.0
UID_11222,1,15.97,0,7.1
UID_14386,2,61.64,0,23.8
UID_06592,0,130.13,0,15.5
UID_14281,0,0.0,2,23.1
UID_12377,0,53.09,0,0.0
UID_01954,0,44.01,0,21.5
UID_00035,0,0.0,0,0.0
UID_05649,0,34.28,0,19.3
UID_11826,0,0.0,0,7.7
UID_13040,0,16.3,2,8.4
UID_14939,0,0.0,0,0.0
UID_11470,2,78.67,0,17.7
UID_13286,0,70.91,0,10.5
UID_02129,0,5.0,0,9.8
UID_00923,0,20.45,0,12.4
UID_02186,0,23.13,0,22.3
UID_14521,2,99.15,0,27.6
UID_05850,0,91.22,0,22.9
UID_02684,0,22.3,0,14.5
UID_09005,0,104.44,0,11.5
UID_02460,0,8.35,2,0.0
UID_03956,0,52.04,0,18.6
UID_03610,0,29.75,0,11.4
UID_08742,0,61.82,0,29.0
UID_09186,1,26.07,2,12.5
UID_03872,0,0.0,0,12.7
UID_03160,1,11.28,0,7.0
UID_14616,2,70.85,0,20.8
