TransactionID,UserID,Transaction_Amount,Transaction_Timestamp
TID_000001,UID_01855,262.53,2025-10-15 08:22:47
TID_000002,UID_13426,134.87,2025-07-30 04:55:35
TID_000003,UID_09296,275.22,2025-09-17 16:06:22
TID_000004,UID_12303,5.74,2025-09-06 09:10:22
TID_000005,UID_05988,747.92,2025-10-08 10:41:28
TID_000006,UID_05450,95.12,2025-10-24 11:21:14
TID_000007,UID_06011,224.25,2025-08-11 03:22:19
TID_000008,UID_09240,109.65,2025-09-18 14:50:42
TID_000009,UID_00667,301.87,2025-08-04 03:31:48
TID_000010,UID_07491,346.62,2025-08-18 10:09:29
TID_000011,UID_07107,1685.37,2025-08-16 05:01:30
TID_000012,UID_13905,146.25,2025-09-19 02:33:52
TID_000013,UID_07780,73.15,2025-10-06 05:19:16
TID_000014,UID_04145,103.81,2025-09-09 21:54:54
TID_000015,UID_13716,804.31,2025-10-05 17:38:05
TID_000016,UID_11673,621.41,2025-08-10 11:38:04
TID_000017,UID_01234,217.86,2025-09-02 09:50:01
TID_000018,UID_10584,169.35,2025-08-28 02:02:01
TID_000019,UID_14274,210.23,2025-10-11 06:11:52
TID_000020,UID_04897,1063.78,2025-09-28 08:47:46
TID_000021,UID_11438,668.7,2025-10-12 15:39:08
TID_000022,UID_04934,614.57,2025-08-08 11:28:07
TID_000023,UID_12643,104.02,2025-08-19 14:42:13
TID_000024,UID_10772,239.9,2025-08-29 17:30:06
TID_000025,UID_02629,66.89,2025-08-28 05:35:37
TID_000026,UID_09077,162.59,2025-08-30 07:24:16
TID_000027,UID_14055,8.95,2025-10-01 22:53:29
TID_000028,UID_14989,80.07,2025-09-29 02:34:40
TID_000029,UID_14462,168.63,2025-09-29 17:08:58
TID_000030,UID_13253,486.07,2025-07-27 03:19:28
TID_000031,UID_14689,391.83,2025-10-07 10:27:16
TID_000032,UID_08846,212.84,2025-10-22 22:01:33
TID_000033,UID_13313,765.49,2025-08-17 01:23:29
TID_000034,UID_13910,114.79,2025-08-19 08:42:37
TID_000035,UID_06381,221.89,2025-09-03 19:15:59
TID_000036,UID_03205,514.57,2025-09-14 13:17:57
TID_000037,UID_03984,165.16,2025-10-23 12:45:06
TID_000038,UID_12762,611.49,2025-10-16 13:34:43
TID_000039,UID_12423,1029.05,2025-10-08 05:32:20
TID_000040,UID_02468,576.09,2025-09-25 20:15:49
TID_000041,UID_14844,103.78,2025-09-08 18:24:45
TID_000042,UID_10428,71.17,2025-09-29 23:09:27
TID_000043,UID_12392,775.97,2025-10-08 02:54:22
TID_000044,UID_11517,317.53,2025-09-27 07:38:18
TID_000045,UID_07260,99.57,2025-10-10 00:29:16
TID_000046,UID_12509,150.37,2025-08-01 00:01:45
TID_000047,UID_10627,298.58,2025-10-04 17:29:09
TID_000048,UID_05492,113.25,2025-09-10 21:15:06
TID_000049,UID_08270,1034.1,2025-10-08 06:02:42
TID_000050,UID_02659,92.8,2025-08-30 05:50:15
TID_000051,UID_00100,769.77,2025-09-12 21:38:10
TID_000052,UID_12859,832.4,2025-09-15 16:27:48
TID_000053,UID_08760,359.11,2025-10-22 04:41:58
TID_000054,UID_05383,149.34,2025-08-02 08:25:41
TID_000055,UID_06225,1234.0,2025-09-24 00:37:21
TID_000056,UID_12798,485.96,2025-09-17 12:51:34
TID_000057,UID_10278,2439.55,2025-09-15 10:04:49
TID_000058,UID_03194,82.52,2025-09-01 22:24:33
TID_000059,UID_13239,221.9,2025-10-22 14:45:29
TID_000060,UID_00523,163.91,2025-10-09 11:31:10
TID_000061,UID_14778,412.98,2025-07-29 14:46:12
TID_000062,UID_12392,95.69,2025-09-01 17:10:52
TID_000063,UID_08128,119.27,2025-10-12 17:36:07
TID_000064,UID_14549,387.68,2025-07-31 20:05:55
TID_000065,UID_11860,233.11,2025-08-02 15:40:26
TID_000066,UID_14562,92.32,2025-09-18 10:37:04
TID_000067,UID_10368,82.14,2025-09-11 06:07:26
TID_000068,UID_08044,661.95,2025-10-01 17:30:39
TID_000069,UID_04288,747.92,2025-10-09 22:58:30
TID_000070,UID_01575,156.37,2025-10-14 21:57:26
TID_000071,UID_09885,253.3,2025-09-18 03:53:33
TID_000072,UID_00843,164.35,2025-10-19 10:15:12
TID_000073,UID_04224,152.61,2025-09-12 11:47:12
TID_000074,UID_09289,649.23,2025-09-16 23:15:08
TID_000075,UID_06668,99.61,2025-09-03 15:37:28
TID_000076,UID_08208,147.92,2025-08-25 00:52:58
TID_000077,UID_10520,1797.47,2025-08-25 04:04:06
TID_000078,UID_02906,89.59,2025-07-26 16:02:04
TID_000079,UID_09776,437.67,2025-08-19 10:29:36
TID_000080,UID_08494,359.19,2025-09-04 11:53:37
TID_000081,UID_04881,578.3,2025-09-13 14:22:37
TID_000082,UID_03991,73.22,2025-08-21 10:08:31
TID_000083,UID_10923,311.64,2025-10-03 06:42:36
TID_000084,UID_09786,195.18,2025-10-10 14:28:50
TID_000085,UID_03950,151.95,2025-08-06 07:17:56
TID_000086,UID_12727,643.25,2025-08-08 00:18:29
TID_000087,UID_14808,104.4,2025-10-07 18:47:40
TID_000088,UID_10409,756.21,2025-10-17 23:09:42
TID_000089,UID_13001,131.51,2025-10-22 00:26:24
TID_000090,UID_13630,107.38,2025-07-31 01:31:10
TID_000091,UID_08091,193.25,2025-10-06 14:06:52
TID_000092,UID_04050,625.48,2025-09-21 00:40:42
TID_000093,UID_08983,973.27,2025-08-29 01:06:27
TID_000094,UID_07216,108.24,2025-08-11 23:42:46
TID_000095,UID_02222,329.84,2025-10-17 20:53:20
TID_000096,UID_03327,350.65,2025-07-29 03:52:32
TID_000097,UID_02433,54.78,2025-09-07 18:32:12
TID_000098,UID_14029,38.62,2025-09-10 22:50:42
TID_000099,UID_01657,67.41,2025-08-20 16:47:13
TID_000100,UID_06037,655.48,2025-09-20 23:46:16
TID_000101,UID_10230,204.38,2025-08-29 23:37:22
TID_000102,UID_03896,154.6,2025-08-14 21:52:11
TID_000103,UID_14164,525.99,2025-08-19 16:02:12
TID_000104,UID_04241,118.23,2025-08-15 23:14:58
TID_000105,UID_08258,41.3,2025-09-18 04:23:03
TID_000106,UID_10094,173.12,2025-08-15 21:57:34
TID_000107,UID_14570,217.22,2025-10-03 07:57:24
TID_000108,UID_07971,225.65,2025-08-09 08:32:58
TID_000109,UID_01332,650.46,2025-10-22 23:46:57
TID_000110,UID_06767,287.98,2025-09-04 23:04:58
TID_000111,UID_07934,176.78,2025-10-02 02:01:29
TID_000112,UID_10339,316.95,2025-09-23 11:50:45
TID_000113,UID_12448,543.75,2025-10-09 06:33:38
TID_000114,UID_10001,694.41,2025-09-10 05:44:29
TID_000115,UID_09314,674.64,2025-09-26 07:17:28
TID_000116,UID_10452,846.28,2025-09-27 03:51:39
TID_000117,UID_12271,429.36,2025-08-23 02:05:56
TID_000118,UID_08067,422.01,2025-09-23 07:20:35
TID_000119,UID_01954,487.13,2025-10-05 18:53:50
TID_000120,UID_00992,75.51,2025-08-15 08:33:45
TID_000121,UID_13325,287.26,2025-07-31 06:24:49
TID_000122,UID_12450,140.66,2025-09-30 16:00:37
TID_000123,UID_14788,316.16,2025-07-26 18:16:16
TID_000124,UID_01999,193.28,2025-08-12 11:35:06
TID_000125,UID_07765,371.24,2025-08-31 02:12:01
TID_000126,UID_11044,719.65,2025-09-22 17:48:04
TID_000127,UID_01122,160.83,2025-08-12 04:20:40
TID_000128,UID_07027,35.0,2025-09-28 05:26:40
TID_000129,UID_07404,200.31,2025-09-28 09:44:04
TID_000130,UID_02895,1306.64,2025-09-13 04:53:00
TID_000131,UID_09363,292.43,2025-10-13 16:36:58
TID_000132,UID_05785,757.33,2025-08-15 16:04:58
TID_000133,UID_13859,998.21,2025-08-19 11:16:19
TID_000134,UID_01774,213.11,2025-07-26 16:23:05
TID_000135,UID_09452,1053.34,2025-09-07 23:34:24
TID_000136,UID_13020,69.05,2025-10-10 14:18:08
TID_000137,UID_04645,568.65,2025-08-16 07:12:49
TID_000138,UID_06972,47.46,2025-08-06 19:49:10
TID_000139,UID_04152,159.68,2025-09-04 11:50:00
TID_000140,UID_12642,74.84,2025-08-22 16:19:35
TID_000141,UID_08568,297.27,2025-10-16 17:48:42
TID_000142,UID_06170,581.57,2025-09-16 16:27:12
TID_000143,UID_10124,268.66,2025-08-20 23:21:30
TID_000144,UID_07284,207.89,2025-10-23 04:32:24
TID_000145,UID_04907,355.91,2025-10-04 04:56:16
TID_000146,UID_13239,398.39,2025-09-02 09:35:14
TID_000147,UID_00622,358.71,2025-07-30 08:10:38
TID_000148,UID_01104,22.84,2025-10-15 10:53:13
TID_000149,UID_14938,284.75,2025-10-11 06:55:48
TID_000150,UID_11610,919.25,2025-08-31 02:06:58
TID_000151,UID_09171,222.55,2025-08-07 21:10:34
TID_000152,UID_03700,75.36,2025-08-22 01:59:26
TID_000153,UID_07219,752.63,2025-08-29 02:52:02
TID_000154,UID_12990,60.99,2025-08-24 05:31:59
TID_000155,UID_12215,103.16,2025-08-22 23:30:33
TID_000156,UID_03071,158.45,2025-08-05 13:19:27
TID_000157,UID_12687,162.82,2025-08-08 19:35:37
TID_000158,UID_00508,248.61,2025-09-06 03:29:03
TID_000159,UID_11528,72.56,2025-08-14 09:07:04
TID_000160,UID_10576,54.76,2025-09-03 18:40:51
TID_000161,UID_10003,174.29,2025-10-12 05:14:59
TID_000162,UID_07169,58.67,2025-10-19 22:17:40
TID_000163,UID_11045,161.3,2025-08-22 12:40:22
TID_000164,UID_08905,108.07,2025-07-26 16:54:07
TID_000165,UID_06988,254.33,2025-07-31 17:10:23
TID_000166,UID_13578,95.03,2025-08-04 06:27:06
TID_000167,UID_04203,137.1,2025-09-13 06:02:18
TID_000168,UID_13079,47.68,2025-10-16 05:58:10
TID_000169,UID_08337,395.12,2025-08-23 09:55:39
TID_000170,UID_00698,67.14,2025-08-26 09:10:20
TID_000171,UID_05383,102.31,2025-08-27 22:42:56
TID_000172,UID_09121,195.6,2025-10-03 19:49:59
TID_000173,UID_02085,1212.85,2025-08-22 17:01:18
TID_000174,UID_06496,766.24,2025-08-03 16:29:10
TID_000175,UID_03636,242.69,2025-08-16 08:25:06
TID_000176,UID_06876,596.68,2025-08-20 20:54:51
TID_000177,UID_03106,384.36,2025-08-20 20:40:27
TID_000178,UID_07509,218.33,2025-10-23 16:19:11
TID_000179,UID_14617,141.93,2025-07-29 16:13:22
TID_000180,UID_07084,483.74,2025-09-27 09:08:38
TID_000181,UID_11878,241.61,2025-08-08 09:51:33
TID_000182,UID_13781,64.35,2025-08-24 03:12:36
TID_000183,UID_07652,220.29,2025-10-09 06:51:55
TID_000184,UID_04204,576.33,2025-09-09 22:57:00
TID_000185,UID_03091,99.99,2025-09-15 17:49:40
TID_000186,UID_11426,377.48,2025-09-12 03:14:00
TID_000187,UID_03304,37.85,2025-09-30 01:21:36
TID_000188,UID_01343,33.65,2025-10-02 22:26:13
TID_000189,UID_12876,206.27,2025-09-17 23:49:00
TID_000190,UID_09120,429.27,2025-08-19 05:48:33
TID_000191,UID_11005,606.18,2025-09-18 10:54:47
TID_000192,UID_07426,252.51,2025-08-11 04:05:16
TID_000193,UID_08217,1362.62,2025-08-15 22:13:28
TID_000194,UID_02863,55.25,2025-09-09 06:20:06
TID_000195,UID_08560,1835.44,2025-10-19 23:28:14
TID_000196,UID_05061,116.56,2025-08-11 02:38:03
TID_000197,UID_06736,143.4,2025-09-10 12:47:57
TID_000198,UID_06306,1866.61,2025-08-21 07:34:08
TID_000199,UID_03042,172.96,2025-10-07 19:01:50
TID_000200,UID_00754,173.91,2025-08-21 13:44:31
TID_000201,UID_09657,88.42,2025-07-31 02:29:45
TID_000202,UID_06401,143.02,2025-09-08 09:48:54
TID_000203,UID_12093,180.02,2025-08-12 10:42:59
TID_000204,UID_05079,396.09,2025-09-05 14:59:45
TID_000205,UID_08491,538.1,2025-10-03 09:01:53
TID_000206,UID_02893,213.28,2025-08-20 04:55:57
TID_000207,UID_03377,439.98,2025-07-30 02:10:31
TID_000208,UID_11100,402.62,2025-09-14 16:24:03
TID_000209,UID_09720,470.21,2025-08-20 13:11:18
TID_000210,UID_01364,43.36,2025-09-24 14:26:39
TID_000211,UID_02396,73.38,2025-10-06 14:29:04
TID_000212,UID_05521,222.94,2025-07-27 14:23:33
TID_000213,UID_09988,79.91,2025-10-07 15:12:08
TID_000214,UID_11547,231.35,2025-08-19 08:19:30
TID_000215,UID_13408,275.56,2025-10-21 14:25:53
TID_000216,UID_04073,508.57,2025-08-20 20:46:57
TID_000217,UID_14501,851.5,2025-10-22 17:53:29
TID_000218,UID_09821,161.42,2025-09-09 02:21:01
TID_000219,UID_00842,2382.4,2025-09-19 18:23:34
TID_000220,UID_01232,176.15,2025-10-15 14:50:01
TID_000221,UID_09531,339.75,2025-10-23 10:28:58
TID_000222,UID_05732,1339.95,2025-09-01 03:51:53
TID_000223,UID_02680,64.07,2025-10-02 05:39:41
TID_000224,UID_08551,73.46,2025-08-23 18:12:35
TID_000225,UID_03373,92.65,2025-08-18 19:24:12
TID_000226,UID_09051,300.79,2025-08-09 12:42:34
TID_000227,UID_10594,91.96,2025-09-08 20:07:28
TID_000228,UID_12282,624.65,2025-09-27 14:33:44
TID_000229,UID_00451,360.94,2025-10-21 02:41:10
TID_000230,UID_04855,113.98,2025-08-24 18:11:47
TID_000231,UID_00775,454.7,2025-10-02 20:54:56
TID_000232,UID_03977,108.95,2025-09-02 04:15:32
TID_000233,UID_00854,1939.59,2025-09-09 03:48:08
TID_000234,UID_02742,126.72,2025-10-17 07:22:07
TID_000235,UID_04868,121.13,2025-10-03 16:47:29
TID_000236,UID_13088,509.41,2025-08-23 22:16:33
TID_000237,UID_12157,84.85,2025-09-02 17:14:43
TID_000238,UID_11884,285.27,2025-10-08 01:47:00
TID_000239,UID_07737,218.58,2025-08-15 01:33:28
TID_000240,UID_00439,116.37,2025-10-14 01:42:15
TID_000241,UID_01823,107.89,2025-09-27 11:38:07
TID_000242,UID_03994,240.1,2025-09-03 08:29:21
TID_000243,UID_07058,172.82,2025-10-01 16:15:29
TID_000244,UID_12981,430.51,2025-09-06 02:42:18
TID_000245,UID_14680,286.79,2025-09-06 00:41:13
TID_000246,UID_05299,1062.95,2025-08-25 21:05:01
TID_000247,UID_11754,140.05,2025-09-16 11:26:15
TID_000248,UID_00462,96.06,2025-10-08 15:01:42
TID_000249,UID_12303,117.85,2025-09-01 03:37:24
TID_000250,UID_11293,993.74,2025-09-30 01:04:20
TID_000251,UID_07882,105.92,2025-10-17 15:13:17
TID_000252,UID_10745,535.57,2025-09-23 10:10:37
TID_000253,UID_10468,205.73,2025-09-08 04:10:42
TID_000254,UID_01707,218.41,2025-09-13 14:36:53
TID_000255,UID_06555,537.45,2025-07-30 04:42:02
TID_000256,UID_03252,225.7,2025-08-04 08:05:52
TID_000257,UID_10571,134.48,2025-08-12 08:08:31
TID_000258,UID_03623,43.63,2025-10-11 11:18:56
TID_000259,UID_03321,152.86,2025-09-02 07:28:13
TID_000260,UID_13081,1185.27,2025-08-06 23:16:19
TID_000261,UID_01279,151.63,2025-09-29 07:55:08
TID_000262,UID_14070,416.78,2025-09-15 12:00:57
TID_000263,UID_13409,775.62,2025-10-18 16:50:32
TID_000264,UID_03924,425.99,2025-08-03 11:08:54
TID_000265,UID_04783,180.96,2025-09-23 21:32:53
TID_000266,UID_04883,82.12,2025-09-11 03:55:01
TID_000267,UID_04900,215.61,2025-10-11 19:47:56
TID_000268,UID_11348,123.93,2025-08-09 03:19:00
TID_000269,UID_13225,93.14,2025-10-20 11:01:16
TID_000270,UID_13518,69.06,2025-10-14 10:32:25
TID_000271,UID_02841,1806.8,2025-10-19 02:47:26
TID_000272,UID_12102,198.35,2025-07-28 17:08:21
TID_000273,UID_09891,250.03,2025-10-09 15:18:41
TID_000274,UID_14152,337.16,2025-10-12 08:52:43
TID_000275,UID_05680,198.6,2025-08-25 11:25:50
TID_000276,UID_04250,125.55,2025-09-16 06:10:41
TID_000277,UID_05307,66.89,2025-10-18 18:40:14
TID_000278,UID_11943,143.75,2025-07-30 06:37:07
TID_000279,UID_14595,198.93,2025-09-29 00:37:56
TID_000280,UID_06297,1115.41,2025-08-25 19:37:20
TID_000281,UID_05875,199.71,2025-08-10 12:51:52
TID_000282,UID_14135,470.51,2025-10-03 02:16:16
TID_000283,UID_13900,101.05,2025-10-13 19:33:30
TID_000284,UID_07205,220.2,2025-10-21 01:33:29
TID_000285,UID_08916,114.84,2025-09-11 15:32:48
TID_000286,UID_02741,362.77,2025-10-11 13:44:43
TID_000287,UID_11367,68.19,2025-09-05 19:18:19
TID_000288,UID_11724,1831.33,2025-08-23 19:24:23
TID_000289,UID_07912,35.24,2025-08-02 02:11:56
TID_000290,UID_08389,140.21,2025-10-07 06:22:50
TID_000291,UID_07466,652.29,2025-08-28 10:06:38
TID_000292,UID_14290,1204.96,2025-09-27 05:47:54
TID_000293,UID_05188,1192.49,2025-08-25 06:04:36
TID_000294,UID_02616,222.85,2025-10-01 12:32:21
TID_000295,UID_10999,188.62,2025-08-28 19:02:41
TID_000296,UID_07605,86.35,2025-09-13 16:10:13
TID_000297,UID_10118,642.13,2025-10-04 04:39:26
TID_000298,UID_09582,130.62,2025-07-31 15:52:34
TID_000299,UID_07084,210.71,2025-10-13 19:15:29
TID_000300,UID_03112,148.05,2025-09-16 07:52:07
TID_000301,UID_09578,158.18,2025-10-11 15:19:00
TID_000302,UID_11899,359.59,2025-08-25 12:21:23
TID_000303,UID_10458,623.68,2025-08-05 13:21:45
TID_000304,UID_10540,181.29,2025-07-30 06:22:47
TID_000305,UID_06942,307.8,2025-10-13 03:52:45
TID_000306,UID_00797,459.17,2025-09-05 10:35:22
TID_000307,UID_03759,1452.79,2025-09-01 21:13:58
TID_000308,UID_09712,156.85,2025-10-20 05:13:27
TID_000309,UID_00804,236.22,2025-10-17 14:10:08
TID_000310,UID_13450,340.25,2025-09-22 04:23:22
TID_000311,UID_08179,286.01,2025-10-23 00:32:56
TID_000312,UID_10367,303.42,2025-09-14 00:43:02
TID_000313,UID_01965,866.62,2025-09-06 23:53:01
TID_000314,UID_07099,90.52,2025-09-28 02:52:28
TID_000315,UID_12589,218.66,2025-08-22 06:34:10
TID_000316,UID_06532,436.67,2025-09-30 04:36:16
TID_000317,UID_09308,418.23,2025-09-07 04:33:47
TID_000318,UID_12657,43.97,2025-09-04 13:36:55
TID_000319,UID_00499,79.27,2025-09-30 04:16:12
TID_000320,UID_07682,400.58,2025-08-22 04:10:53
TID_000321,UID_07229,861.1,2025-08-17 19:07:24
TID_000322,UID_09078,364.58,2025-10-17 03:21:45
TID_000323,UID_13528,77.05,2025-07-30 11:14:57
TID_000324,UID_07234,366.85,2025-10-06 18:07:13
TID_000325,UID_00075,216.29,2025-10-14 22:12:28
TID_000326,UID_07055,759.45,2025-08-13 22:04:16
TID_000327,UID_04897,732.23,2025-09-18 21:56:59
TID_000328,UID_09748,72.34,2025-08-05 01:53:16
TID_000329,UID_05294,112.49,2025-10-07 15:14:16
TID_000330,UID_08651,293.48,2025-10-07 20:35:50
